"pHSC" "Blasts"
"PBX1" 10.9148965959388 1.61863575533571
"MYCT1" 10.790394810129 1.2381538146814
"PRKG2" 10.5229508230961 0.738779261066613
"TIMP3" 9.41550057780109 1.12151004726619
"MECOM" 9.76608648966892 1.12151004726619
"ADGRG6" 10.4088769601157 1.58952576893175
"CRHBP" 11.5659053316441 2.25686439327356
"SERPINA1" 1.48786944735037 10.1068666992705
"HLF" 10.1367078742455 0.382730786199573
"TMEM246" 9.3963625300553 0.88190279153529
"HEMGN" 10.4519991078384 1.93164781854059
"TAL1" 10.3491218312324 1.97827339306246
"CALN1" 9.03269254399642 0.998889629647893
"S100A8" 1.56842147251614 9.69552844522942
"RNASE6" 2.06259464965391 9.76433848826613
"PLS3" 8.54363802388186 0
"ZNF462" 8.58651511064007 0
"LILRA1" 2.28745112857137 9.61637155790105
"MAGI2-AS3" 8.48658782811933 0
"PREX2" 9.22552082955451 0.499172005335717
"PLOD2" 8.90589116188466 0.499172005335717
"BAALC" 8.24825470686568 2.65742736729821
"LYZ" 7.35950963591196 14.3176176315458
"MPEG1" 3.86239865827533 12.2912075868649
"TLR8" 1.58441448537158 9.61458950674916
"FAT4" 8.65638602541647 0.382730786199573
"CHRM3" 9.12942820455797 1.32784847788096
"CD86" 0 8.22527474928406
"CCR1" 1.13837637081066 9.12273337476049
"MMRN1" 11.1859604880059 5.49947309178166
"FGD5" 7.79942602481069 0
"ACPP" 0.337457180048777 8.36779829014975
"SKAP1" 8.10103283493859 1.64392599641402
"VCAN" 4.12852929877039 12.5439653940834
"CD1D" 0.717110732891774 8.31288972700724
"FBN1" 8.8483030377996 3.79052957324451
"PCDH9" 11.8209200988792 3.19865603685925
"CCR5" 0.707312129274083 8.11677884757207
"LIMCH1" 8.27052650210899 1.12637424383585
"MED12L" 10.5513634656584 6.17399819298961
"VWF" 8.06157156959482 2.44191628769379
"TLR4" 6.55987909623602 11.7607428894921
"ITGAM" 2.94961166538955 11.1208755341324
"MPDZ" 8.46973072474684 0.593117447915277
"SOCS2" 11.028187191137 4.06417056137927
"BEX2" 9.34028103955972 2.21022931786983
"CYTL1" 7.58470115505211 1.12151004726619
"CD163" 1.27740414708185 8.75878865718794
"TC2N" 7.65762228876401 0.244471452300565
"DTX4" 0 7.34414973339658
"TYROBP" 3.92724485712325 8.90945908362653
"SIRPB2" 1.0248186665004 8.87614671660198
